SessionId,cache,isResponseOK,isRequestAsync,accountName,clientdate,MacId,Url,DataType,isResponse,isResponseRedirected,urlFull,statusCode,mode,method,urlPath,eventType,Ref,workspace,function,responseType
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.727802534002e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://us.creativecdn.com/tags/v2?type=json,,cors,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802534219e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,true,false,https://us.creativecdn.com/tags/v2?type=json,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,cors
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.727802535621e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://template-service.datalive.ai/api/template,,cors,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802536437e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,true,false,https://template-service.datalive.ai/api/template,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,cors
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.727802555147e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://www.google.com/pagead/landing?gcs=G111&gcd=13t3t3l3l5l1&tag_exp=101671035~101686685~101747727&rnd=710657122.1727802554&gclaw=EAIaIQobChMIs_b0ufzqiAMV9tbCBB3W_xMXEAAYASAAEgJbvvD_BwE&url=https%3A%2F%2Fwww.cea.com.br%2Fofertas%2Fofertas-por-24-horas&dma=0&npa=0&gtm=45He49u0n81T3MGPG9v830842906za200&auid=1458210504.1723123837,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,sendBeacon,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.72780255546e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://b133h34s56.execute-api.us-east-1.amazonaws.com/accounts/v2/cea,,,GET,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,,cea,1.727802555462e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://us.creativecdn.com/tags/v2?type=json,,cors,POST,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,true,,cea,1.727802555465e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,true,false,https://b133h34s56.execute-api.us-east-1.amazonaws.com/accounts/v2/cea,200,,,,httpRequest,https://www.cea.com.br/,master%3A-,fetch,cors
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.727802555467e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://analytics.tiktok.com/api/v2/pixel,,,POST,,httpRequest,https://www.cea.com.br/,master%3A-,sendBeacon,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.72780255547e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://ct.pinterest.com/user/?tid=2612603019076&pd=%7B%22np%22%3A%22gtm%22%2C%22pin_unauth%22%3A%22dWlkPU4yTTJaakkxTURjdE5ESXlZUzAwTURKaUxXSmpNVGd0TVRWbFpEa3dZemc1TW1ZMA%22%7D&cb=1727802554979&dep=2%2CPAGE_LOAD,,,GET,,httpRequest,https://www.cea.com.br/,master%3A-,XMLHttpRequest,
6628a69a-e98b-4d97-b1ab-1853a88acd6e,,,true,cea,1.727802555783e+12,66c87aa0-30c1-456c-8b12-97b5966963d6,https://www.cea.com.br/ofertas/ofertas-por-24-horas,Event,false,,https://ct.pinterest.com/user/?event=pagevisit&tid=2612603019076&cb=1727802554981&dep=5%2CEVENT_TAGS_ABSENT,,,GET,,httpRequest,https://www.cea.com.br/,master%3A-,XMLHttpRequest,
